Time_s   F0_Hz
0.343946   280.963992
0.353946   278.194888
0.363946   276.859009
0.373946   277.37805
0.383946   277.444583
0.393946   277.209895
0.403946   276.603606
0.413946   275.754329
0.423946   274.891184
0.433946   274.266649
0.443946   274.067551
0.453946   274.359549
0.463946   275.095639
0.473946   276.148912
0.483946   277.369141
0.493946   278.596434
0.503946   279.677972
0.513946   280.472775
0.523946   280.886313
0.533946   280.945124
0.543946   280.837508
0.553946   280.933614
0.563946   281.638459
0.573946   283.188725
0.583946   285.466208
0.593946   288.02021
0.603946   290.264722
0.613946   291.678287
0.623946   291.920455
0.633946   290.888229
0.643946   288.758598
0.653946   286.077422
0.663946   283.923162
0.673946   283.467798
0.683946   285.137132
0.693946   288.743987
0.703946   293.695951
0.713946   299.243675
0.723946   304.974183
0.733946   311.109428
0.743946   317.47293
0.753946   320.921243
0.763946   321.222931
0.773946   319.954236
0.783946   317.813376
0.793946   315.761422
0.803946   314.682305
0.813946   315.313946
0.823946   318.252561
0.833946   323.921519
0.843946   331.844617
0.853946   340.139376
0.863946   347.209686
0.873946   352.770658
0.883946   356.947547
0.893946   359.078811
0.903946   358.890084
0.913946   357.227534
0.923946   355.077954
0.933946   353.28145
0.943946   352.538475
0.953946   353.413385
0.963946   356.232926
0.973946   361.121164
0.983946   368.019098
0.993946   375.682531
1.003946   382.252188
1.013946   386.57201
1.023946   388.221301
1.033946   387.523743
1.043946   385.36317
1.053946   382.88454
1.063946   381.19635
1.073946   381.225921
1.083946   383.695853
1.093946   389.027246
1.103946   396.995682
1.113946   406.648991
1.123946   416.985607
1.133946   426.285118
1.143946   432.994272
1.153946   436.528379
1.163946   436.893468
1.173946   434.608605
1.183946   430.603071
1.193946   426.014788
1.203946   421.956896
1.213946   419.317533
1.223946   418.652598
1.233946   420.155304
1.243946   423.648075
1.253946   428.590548
1.263946   434.149744
1.273946   439.387966
1.283946   443.469127
1.293946   445.814521
1.303946   446.124519
1.313946   444.330567
1.323946   440.562765
1.333946   435.202627
1.343946   428.940427
1.353946   422.726194
1.363946   417.545859
1.373946   414.155585
1.383946   412.917036
1.393946   413.827408
1.403946   416.629078
1.413946   420.913768
1.423946   426.162524
1.433946   431.718488
1.443946   436.77504
1.453946   440.4685
1.463946   442.096475
1.473946   441.314984
1.483946   438.253921
1.493946   433.51386
1.503946   427.994084
1.513946   422.60977
